,Unnamed: 0,IC50,SMILES,numb,C,O,N,MolWeight,Rings,TPSA,FpDM1,RotBonds
73,74,10.0,O=C(Nc1ccc(-c2nc3cc(NC(=O)C45CC6CC(CC(C6)C4)C5)ncc3[nH]2)cc1)C12CC3CC(C1)C(O)C(C3)C2,42,34,3,5,565.305290108,11,120.00000000000001,0.7857142857142857,5
74,75,940.0,N#Cc1ccc(C(c2ccccc2)N2CCN(c3ncnc4c3cnn4-c3ccccc3)CC2)cc1,36,29,0,7,471.2171438000001,6,73.87,0.75,5
75,76,910.0,Brc1ccc(C(c2ccccc2)N2CCN(c3ncnc4c3cnn4-c3ccccc3)CC2)cc1,35,28,0,6,524.1324069000001,6,50.080000000000005,0.7142857142857143,5
76,77,4600.0,c1ccc(C(c2cccnc2)N2CCN(c3ncnc4c3cnn4-c3ccccc3)CC2)cc1,34,27,0,7,447.21714380000003,6,62.970000000000006,0.7058823529411765,5
77,78,580.0,Cc1noc(C)c1C(c1ccccc1)N1CCN(c2ncnc3c2cnn3-c2ccccc2)CC1,35,27,1,7,465.2277084840001,6,76.11000000000001,0.8571428571428571,5
78,79,1970.0,Clc1ccc(C(c2ccccc2)N2CCN(c3ncnc4c3cnn4-c3ccccc3)CC2)cc1,35,28,0,6,480.18292248000006,6,50.080000000000005,0.7142857142857143,5
79,80,50000.0,C[C@]1(CO)CCC[C@@]2(C)[C@H]1[C@H](OC(=O)c1ccc([N+](=O)[O-])cc1)C=C1C(=O)OC[C@@]12O,31,22,8,1,431.1580167599999,4,136.20000000000002,1.2903225806451613,4
80,81,20.0,O=C(Nc1ccc(-c2nc3cc(NC(=O)C45CC6CC(C4)C(O)C(C6)C5)ncc3[nH]2)cc1)C12CC3CC(CC(C3)C1)C2,42,34,3,5,565.305290108,11,120.0,0.7857142857142857,5
81,82,10000.0,O=C1N(CCC(CCOc2ccc(-c3ccc(Cl)cc3)cc2)Cc2ccccc2)CCN1c1ccncc1,38,32,2,3,525.218304944,5,45.67,0.8157894736842105,11
82,83,410.0,Cc1ccccc1C(c1sccc1C)N1CCN(c2ncnc3c2cnn3-c2ccccc2)CC1,35,28,0,6,480.20961589600006,6,50.080000000000005,0.8285714285714286,5
83,84,20.0,O=C(Nc1ccc(-c2nc3cc(C(=O)NC45CC6CC(CC(C6)C4)C5)ccc3[nH]2)cc1)c1ccc(Cl)c(Cl)c1,39,31,2,4,558.158931496,8,86.88,0.7948717948717948,5
84,85,4.0,Cc1cc(CCCCCCCOc2ccc(C3=NCCO3)cc2)on1,25,20,3,2,342.19434269199996,3,56.85,1.04,10
85,86,2000.0,O=C1C2CC3CC1CC(C(=O)Nc1ccc(-c4nc5cc(NC(=O)C67CC8CC(CC(C8)C6)C7)ncc5[nH]4)cc1)(C3)C2,42,34,3,5,563.2896400440001,11,116.84,0.7619047619047619,5
86,87,20.0,O=C(Nc1ccc(-c2nc3cc(C(=O)NC45CC6CC(C4)C(=O)C(C6)C5)ncc3[nH]2)cc1)c1ccc(Cl)cc1,39,30,3,5,539.172417372,8,116.84,0.9487179487179487,5
87,88,60.0,O=C(Nc1ccc(-c2nc3cc(NC(=O)C45CC6CC(CC(C6)C4)C5)ccc3[nH]2)cc1)C12CC3CC(CC(C3)C1)C2,41,35,2,4,548.31512652,11,86.88,0.6341463414634146,5
88,89,30.0,Cc1cc(CCCOc2c(C)cc(-c3noc(C(F)(F)F)n3)cc2C)on1,27,18,3,3,381.13002609600005,3,74.18,1.0,6
89,90,400.0,O=C(Nc1ccc(-c2nc3cc(C(=O)NC45CC6CC(CC(C6)C4)C5)ncc3[nH]2)cc1)c1ccc(Cl)cc1,38,30,2,5,525.1931528160001,8,99.77000000000001,0.8947368421052632,5
90,91,160.0,O=C(Nc1ccc(-c2nc3cc(NC(=O)C4CCCCC4)ccc3[nH]2)cc1)C1CCCCC1,33,27,2,4,444.252526264,5,86.88,0.7272727272727273,5
91,92,320.0,Cc1ccsc1C(c1ccccc1Br)N1CCN(c2ncnc3c2cnn3-c2ccccc2)CC1,35,27,0,6,544.1044779000001,6,50.080000000000005,0.9142857142857143,5
92,93,25000.0,CCCn1ncc2c(N3CCN(C(c4ccccc4)c4ccccc4)CC3)ncnc21,31,25,0,6,412.23754489600003,5,50.080000000000005,0.8387096774193549,6
93,94,100.0,O=C(NC12CC3CC(C1)C(=O)C(C3)C2)c1cc2nc(-c3ccc(NC(=O)C45CC6CC(CC(O)(C6)C4)C5)cc3)[nH]c2cn1,43,34,4,5,579.284554664,11,137.07,0.9069767441860465,5
94,95,1250.0,c1ccc(C(c2ccco2)N2CCN(c3ncnc4c3cnn4-c3ccccc3)CC2)cc1,33,26,1,6,436.20115938800006,6,63.220000000000006,0.7878787878787878,5
95,96,600.0,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,22,17,3,2,302.163042564,1,69.64,1.1818181818181819,6
96,97,20.0,O=C(NC12CC3CC(CC(C3)C1)C2)c1ccc2[nH]c(-c3ccc(NC(=O)C45CC6CC(CC(C6)C4)C5)cc3)nc2c1,41,35,2,4,548.31512652,11,86.88000000000001,0.7317073170731707,5
97,98,10.0,COc1ccc(OCCCCCCCc2cc(C)no2)c(Cl)c1,23,18,3,1,337.144471308,2,44.49,1.0869565217391304,10
